rpm,M24-P5-360V  Cont,,rpm,M24-P5-360V Peak,rpm,M24-P5-600V Peak,,rpm,M24-P5-360V Cont,M24-P5-600V Cont,M24-P5-360V Peak,M24-P5-600V Peak,,rpm,M24-P5-600V Cont
4356.617715,99.05770475,,3792.220709,239.9800394,7038.871959,218.7274496,,,,,,,,8187.618755,87.18850017
4494.753433,95.79612095,,3885.745642,233.9501901,7136.85046,215.8322495,,,,,,,,8291.0528,86.05545995
4600.225357,93.62612307,,3983.724143,227.7508986,7234.828961,212.7809505,,,,,,,,8379.328014,85.07911271
4681.935394,92.09799784,,4081.702645,222.4882,7332.807463,209.8597339,,,,,,,,8526.457888,83.55918556
4824.542779,89.10357709,,4179.681146,217.5637154,7430.785964,206.8604679,,,,,,,,8579.983885,83.58194362
4927.940757,87.11372163,,4277.659647,212.5091485,7528.764466,203.9912842,,,,,,,,8713.72229,81.81949729
5016.185914,85.42336167,,4375.638149,207.4285651,7626.742967,201.6944627,,,,,,,,8892.057531,79.88210954
5163.313056,83.83852429,,4473.61665,202.4520476,7724.721468,199.7098389,,,,,,,,9003.512309,78.55847351
5249.453263,81.59179184,,4571.595152,198.2820406,7822.69997,196.7105729,,,,,,,,,
5354.941326,79.80519714,,4669.573653,194.3201653,7920.678471,194.0235045,,,,,,,,,
5493.153771,78.36629304,,4767.552154,190.3843065,8018.656972,191.5705842,,,,,,,,,
5591.227566,77.04922833,,4865.530656,186.4224312,8116.635474,189.2737628,,,,,,,,,
5689.301361,75.73216362,,4963.509157,182.4865723,8214.613975,187.1590566,,,,,,,,,
5840.871096,73.72384426,,5061.487658,178.966977,8312.592476,184.9923176,,,,,,,,,
5946.37508,72.31545992,,5074.106102,172.3448367,8410.570978,182.7475291,,,,,,,,,
6032.565163,71.25355582,,5162.206817,174.7003026,8508.549479,180.6328229,,,,,,,,,
6179.690556,69.62717588,,5265.461084,172.1444205,8606.527981,178.5441332,,,,,,,,,
6283.121104,68.41105055,,5364.330299,169.7152817,8704.506482,176.48146,,,,,,,,,
6371.401127,67.54894533,,5467.024343,166.9866912,8802.484983,174.6789514,,,,,,,,,
6518.524225,65.86804078,,5560.287302,163.5276967,,,,,,,,,,,
6616.613595,64.92096447,,5658.265803,160.7365624,,,,,,,,,,,
