rpm,M24-P4-360V Cont,,rpm,M24-P4-360V Cont,M24-P4-600V Cont,M24-P4-360V Peak,M24-P4-600V Peak,,rpm,M24-P4-600V Cont,,rpm,M24-P4-360V Peak,rpm,M24-P4-600V Peak
4686.764859,114.1061836,,,,,,,,,,,4191.172457,272.451825,7463.707828,257.1222069
4790.940812,111.7357759,,,,,,,,,,,4283.721037,266.5371591,7560.565652,253.9282231
4871.64488,110.0423991,,,,,,,,,,,4376.27047,260.5963318,7657.420919,250.8127235
5003.689563,106.7333076,,,,,,,,,,,4473.225477,254.4199477,7754.272777,247.8018695
5100.521426,104.2771656,,,,,,,,,,,4570.153204,249.0807285,7851.130601,244.6078857
5193.876287,103.3488639,,,,,,,,,,,4667.063882,244.2647375,7947.976491,241.7801616
5329.453115,100.308351,,,,,,,,,,,4763.976265,239.3964237,8044.813857,239.2140516
5426.323831,99.11793391,,,,,,,,,,,4860.891205,234.4496256,8141.651222,236.6479415
5525.036447,97.51106006,,,,,,,,,,,4957.801883,229.6336346,8238.496259,233.8463788
5584.972115,101.4887378,,,,,,,,,,,5054.699773,225.2100647,8335.353231,230.6785564
5655.224382,94.13470694,,,,,,,,,,,5151.589424,221.0393884,8432.199974,227.8246709
5757.3676,92.50944948,,,,,,,,,,,5207.434207,216.8018725,8529.041602,225.1277538
5844.538246,91.01463871,,,,,,,,,,,5301.329188,214.5565375,8625.878967,222.5616438
5989.824853,88.59484168,,,,,,,,,,,5405.734211,211.1187359,8722.71207,220.1263408
6091.974018,87.16330427,,,,,,,,,,,5491.405529,207.3827245,8815.130734,218.1986732
6183.560793,86.03512184,,,,,,,,,,,5591.951253,203.4833859,8973.629275,212.8518911
6324.458271,84.12829019,,,,,,,,,,,5688.815897,200.0801109,,
6426.610489,82.79623064,,,,,,,,,,,5785.681394,196.6506744,,
6513.796162,81.79095567,,,,,,,,,,,5882.546891,193.2212379,,
6667.910286,79.94996284,,,,,,,,,,,5979.41324,189.7656401,,
6772.124409,78.82302842,,,,,,,,,,,6076.261687,186.8594317,,
6857.257418,77.91367974,,,,,,,,,,,6173.10502,184.1101918,,
6993.76207,76.39939292,,,,,,,,,,,6269.944943,181.4655976,,
7085.347077,75.21361804,,,,,,,,,,,6366.789128,178.6901963,,
7187.510867,74.25852724,,,,,,,,,,,6463.630755,175.9932792,,
7337.221317,72.45667104,,,,,,,,,,,6560.463858,173.5579762,,
7439.382696,71.42304507,,,,,,,,,,,6662.593538,170.5365326,,
7526.573672,70.59054744,,,,,,,,,,,6754.141999,168.3211104,,
7671.895717,69.32521717,,,,,,,,,,,6850.978512,165.7811618,,
7763.498724,68.72583811,,,,,,,,,,,6947.815877,163.2150518,,
7865.670228,68.0220598,,,,,,,,,,,7044.641308,161.0152014,,
8006.591009,66.87440132,,,,,,,,,,,7141.461623,158.9723195,,
8098.188231,66.08653789,,,,,,,,,,,7238.281087,156.955599,,
8200.351056,65.10003301,,,,,,,,,,,7335.098845,154.9912013,,
8311.910126,64.08675651,,,,,,,,,,,7431.917456,153.0006422,,
8385.302683,63.36903345,,,,,,,,,,,7528.737772,150.9577603,,
8517.414777,62.25601758,,,,,,,,,,,7625.556383,148.9672012,,
8609.021642,61.78229477,,,,,,,,,,,7722.374994,146.9766421,,
8711.200538,61.31935759,,,,,,,,,,,7819.193605,144.9860829,,
8860.935095,60.30285293,,,,,,,,,,,7916.009658,143.0740081,,
8918.192901,60.12130661,,,,,,,,,,,8012.828269,141.083449,,
,,,,,,,,,,,,8109.637503,139.3806653,,
,,,,,,,,,,,,8206.442474,137.8086887,,
,,,,,,,,,,,,8303.250003,136.1582279,,
,,,,,,,,,,,,8400.057532,134.5077671,,
,,,,,,,,,,,,8496.862503,132.9357905,,
,,,,,,,,,,,,8593.663212,131.4946209,,
,,,,,,,,,,,,8690.466479,129.9749672,,
,,,,,,,,,,,,8787.265483,128.5861204,,
,,,,,,,,,,,,8884.067897,127.092628,,
,,,,,,,,,,,,8958.869581,125.9441151,,
