rpm,M21-P4-360V Cont,rpm,M21-P4-360V Peak,,rpm,M21-P4-360V Cont,M21-P4-600V Cont,M21-P4-360V Peak,M21-P4-600V Peak,,,rpm,M21-P4-600V Cont,rpm,M21-P4-600V Peak
6194.187688,52.2482968,5549.303421,157.3065523,,,,,,,,,,,10327.96402,138.6493293
6344.291585,51.03169805,5678.344638,153.7309056,,,,,,,,,,,10457.07431,136.9715285
6440.45581,50.42587637,5807.388832,150.2370626,,,,,,,,,,,10586.18518,135.3100885
6604.638887,49.40274855,5930.566618,146.8810592,,,,,,,,,,,10715.29785,133.6977307
6686.719295,48.39796137,5936.279332,142.5198113,,,,,,,,,,,10844.40694,131.9872084
6850.895416,47.0665917,6065.487229,143.5243929,,,,,,,,,,,10973.51901,130.3584898
6986.92908,46.05298856,6206.285391,140.3360666,,,,,,,,,,,11102.63703,128.8933787
7103.029999,45.33077472,6335.349511,137.3897631,,,,,,,,,,,11231.76815,127.7882039
7284.80405,44.19495298,6464.416925,134.533989,,,,,,,,,,,11360.87069,125.8977135
7413.807243,43.48870527,6593.491484,131.8745438,,,,,,,,,,,11489.99407,124.579849
7542.809698,42.74978175,6722.572593,129.3950667,,,,,,,,,,,11619.11388,123.16382
7730.448325,41.6170586,6851.651319,126.8501467,,,,,,,,,,,11748.2325,121.7150696
7852.415221,40.96002741,6980.733023,124.3870304,,,,,,,,,,,11877.35529,120.3808444
7988.453604,40.15554948,7109.823062,122.1529644,,,,,,,,,,,11977.14226,119.6321989
8187.824185,39.15319161,7238.923818,120.2133918,,,,,,,,,,,,
8323.868467,38.61012019,7368.029338,118.4047051,,,,,,,,,,,,
8439.972225,38.01370824,7497.120568,116.2033606,,,,,,,,,,,,
8633.483208,37.22881352,7626.217156,114.1492628,,,,,,,,,,,,
8762.49402,36.8602159,7755.319698,112.2587724,,,,,,,,,,,,
8891.503972,36.45349649,7860.954464,110.8607416,,,,,,,,,,,,
9079.149236,35.61485567,8013.527164,108.5432346,,,,,,,,,,,,
9201.118492,35.06238707,8142.639233,106.914516,,,,,,,,,,,,
9337.159676,34.38207724,8271.750111,105.253076,,,,,,,,,,,,
9536.533207,33.51042263,8400.860988,103.591636,,,,,,,,,,,,
9672.579038,33.03597042,8529.970675,101.8974745,,,,,,,,,,,,
