rpm,M21-P5-360V Cont,rpm,M21-P5-360V Peak,,rpm,M21-P5-360V Cont,M21-P5-600V cont,M21-P5-360V Peak,M21-P5-600V Peak,,rpm,M21-P5-600V Cont,rpm,M21-P5-600V Peak
5980.134529,43.52266737,5158.538537,135.3094543,,,,,,,,11463.88135,54.16638002,9270.162717,123.6675851
6166.671288,42.39589325,5290.622311,131.9314038,,,,,,,,11596.27286,53.60133519,9402.338567,122.0025224
6302.488091,41.51807784,5422.707856,128.5862954,,,,,,,,11722.6429,52.98060202,9534.513531,120.3209888
6431.438468,40.91478623,5554.804025,125.4388394,,,,,,,,11921.226,52.04089272,9666.688495,118.6394551
6611.921661,39.02041663,5686.921442,122.6866884,,,,,,,,11999.45222,51.59332084,9798.861689,116.9249794
6744.306241,38.30180171,5819.037089,119.9015952,,,,,,,,,,9907.02156,115.8602036
6870.671927,37.58453876,5951.142954,116.9345363,,,,,,,,,,10159.3408,112.3749153
7069.24479,36.4177651,5908.926677,114.4816095,,,,,,,,,,10291.5494,111.319281
7208.856502,35.79647083,6083.300254,114.9243663,,,,,,,,,,10423.74207,109.9671681
7328.006259,35.2303417,6220.447022,112.5312666,,,,,,,,,,10555.93652,108.6479973
7514.55526,34.37505758,6336.992899,110.6726928,,,,,,,,,,10684.54302,107.6879356
7639.724627,33.82348196,6479.713594,107.8044146,,,,,,,,,,10853.38641,105.9104574
7779.333817,33.1462443,6611.86731,105.727576,,,,,,,,,,10976.55568,104.4596197
7983.937047,32.23260627,6744.026338,103.7495637,,,,,,,,,,11108.75543,103.2392751
8123.552914,31.70345407,6876.184481,101.7550803,,,,,,,,,,11227.42396,101.9429041
8248.727475,31.26705602,7008.346166,99.82648112,,,,,,,,,,11373.13369,100.403281
8441.301724,30.55137535,7140.49634,97.68375842,,,,,,,,,,11505.35381,99.56177022
8580.920708,30.09132969,7272.674846,96.06810891,,,,,,,,,,11637.55533,98.37436767
8700.079442,29.72429323,7404.845384,94.30422006,,,,,,,,,,11769.75951,97.23637824
8898.670111,28.95241412,7537.015922,92.54033121,,,,,,,,,,11901.96281,96.08191777
9038.288501,28.47920531,7669.196198,90.95762378,,,,,,,,,,11986.08794,95.26839978
9157.446419,28.09406952,7801.382672,89.4902136,,,,,,,,,,,
9356.039982,27.38636077,7933.562063,87.89103513,,,,,,,,,,,
9488.435196,26.90358565,8065.751193,86.47303806,,,,,,,,,,,
9620.834861,26.51953416,8197.940323,85.055041,,,,,,,,,,,
9825.461834,26.13242219,8330.133879,83.71939912,,,,,,,,,,,
9965.088088,25.83362514,8462.323894,82.31787309,,,,,,,,,,,
10084.24927,25.52088668,8594.520107,81.03164433,,,,,,,,,,,
10282.85174,25.01062521,8726.718976,79.79482867,,,,,,,,,,,
10425.28594,24.69196442,8858.9205,78.60742613,,,,,,,,,,,
10541.63992,24.41554364,8991.118483,77.35413943,,,,,,,,,,,
10740.24461,23.95464399,9123.326205,76.28203415,,,,,,,,,,,
10879.86775,23.58674039,9255.533042,75.19345783,,,,,,,,,,,
11005.05136,23.35108041,9387.739879,74.10488151,,,,,,,,,,,
11197.63674,22.88220883,9519.950257,73.08218934,,,,,,,,,,,
11330.0479,22.7531934,9652.166832,72.17479443,,,,,,,,,,,
11462.45313,22.49254646,9784.383408,71.26739952,,,,,,,,,,,
11655.04667,22.20466821,9916.595556,70.27764942,,,,,,,,,,,
11787.44943,21.8891748,10048.81656,69.45260969,,,,,,,,,,,
11913.83633,21.64249452,10181.03402,68.56168582,,,,,,,,,,,
,,10313.25591,67.75311713,,,,,,,,,,,
