rpm,M19P5360V Cont.,,,,,,,,rpm,M19P5600V Cont.,,rpm,M19P5360V Peak,,rpm,M19P5600V Peak
8699.681925,28.41680112,,,,,,,,14080.26061,29.69483084,,7712.459875,89.51379694,,13390.02552,82.90204269
8840.509592,27.95136582,,,,,,,,14258.48003,29.27241546,,7880.967318,87.57994792,,13558.67594,81.8396493
9086.320853,27.19779085,,,,,,,,14410.58499,28.98937836,,8049.47476,85.6460989,,13727.34895,80.91485416
9282.975356,26.70382131,,,,,,,,14664.08917,28.43644,,8217.986718,83.73976954,,13896.02045,79.9808858
9408.958503,26.41422896,,,,,,,,14842.32005,28.24116803,,8386.539313,82.08111703,,14064.69045,79.03774423
9639.410865,25.7930457,,,,,,,,14963.6981,28.04227834,,8555.102445,80.48667704,,14233.36345,78.11294908
9817.628249,25.33033068,,,,,,,,,,,8723.671597,78.92892992,,14402.03194,77.16063429
9969.729655,24.97676922,,,,,,,,,,,8892.239244,77.36200959,,14570.69291,76.16245342
10223.21918,24.13349028,,,,,,,,,,,9060.818933,75.86847499,,14739.3614,75.21013862
10419.88052,23.77507407,,,,,,,,,,,9229.436249,74.60427082,,14908.04494,74.349556
10545.86649,23.54145344,,,,,,,,,,,9398.049049,73.31254699,,15000.06659,73.95603482
10776.3336,23.21234078,,,,,,,,,,,9566.66486,72.0391696,,,
10945.32966,22.71060428,,,,,,,,,,,9735.279166,70.756619,,,
11106.65313,22.41071872,,,,,,,,,,,9903.910029,69.57497378,,,
11360.16424,21.99516548,,,,,,,,,,,10072.54842,68.43919464,,,
11556.81772,21.48104612,,,,,,,,,,,10241.18831,67.31258873,,,
11686.42117,21.28803204,,,,,,,,,,,10409.82218,66.14928994,,,
11927.34564,20.71474319,,,,,,,,,,,10578.47412,65.09606976,,,
11982.52299,23.04002803,,,,,,,,,,,10747.11822,63.99514886,,,
12106.84789,20.3391835,,,,,,,,,,,10914.0588,62.90501479,,,
12258.95743,20.14682059,,,,,,,,,,,11084.47005,62.18102835,,,
12497.10846,19.84035446,,,,,,,,,,,11266.687,61.26750332,,,
12666.11994,19.64391825,,,,,,,,,,,11407.56105,60.75509647,,,
12827.44662,19.40784045,,,,,,,,,,,11590.49409,59.43722032,,,
13080.95597,18.95748298,,,,,,,,,,,11759.18365,58.61333056,,,
13262.76562,18.63274155,,,,,,,,,,,11927.8702,57.77109438,,,
13411.28766,18.39674284,,,,,,,,,,,12096.56127,56.95637784,,,
13649.43652,18.04722938,,,,,,,,,,,12265.25836,56.17835417,,,
13818.44746,17.84010765,,,,,,,,,,,12433.95394,55.39115729,,,
13987.45885,17.64214493,,,,,,,,,,,12602.64952,54.60396041,,,
14233.29004,17.283425,,,,,,,,,,,12771.35112,53.85345639,,,
14415.10416,17.04722066,,,,,,,,,,,12940.06627,53.18551133,,,
14555.9451,16.84485244,,,,,,,,,,,13108.78443,52.5359127,,,
14801.7766,16.49223852,,,,,,,,,,,13277.5056,51.90466051,,,
14901.65192,16.47330357,,,,,,,,,,,13446.22527,51.26423509,,,
,,,,,,,,,,,,13614.94794,50.64215612,,,
,,,,,,,,,,,,13783.68115,50.08428966,,,
,,,,,,,,,,,,13952.41286,49.51724999,,,
,,,,,,,,,,,,14121.14607,48.95938353,,,
,,,,,,,,,,,,14289.87627,48.38317064,,,
,,,,,,,,,,,,14458.59894,47.76109166,,,
,,,,,,,,,,,,14627.32011,47.12983947,,,
,,,,,,,,,,,,14796.05784,46.59949266,,,
,,,,,,,,,,,,14941.7862,46.14344645,,,
