rpm,M27-P4-360V Cont.,rpm,M27-P4-360V Peak,,rpm,M27-P4-360V Cont,M27-P4-600V Cont,M27-P4-360V Peak,M27-P4-600V Peak,,,rpm,M27-P4-600V Cont,rpm,M27-P4-600V Peak
3905.08715,124.8894127,3139.109845,370.5290834,,,,,,,,,,,5702.496473,348.0395049
3990.50512,121.6261859,3213.966781,362.5429274,,,,,,,,,,,5777.410868,343.1549518
4101.523626,117.9721812,3288.829632,354.876054,,,,,,,,,,,5852.325262,338.2703987
4219.739968,114.8706428,3363.690792,347.1179571,,,,,,,,,,,5927.241346,333.4770692
4323.614842,111.8727192,3438.554488,339.4966955,,,,,,,,,,,6002.16926,329.322305
4414.368945,109.5399738,3513.419874,331.9666576,,,,,,,,,,,6077.103089,325.4868235
4463.320767,108.11144,3588.301314,325.303244,,,,,,,,,,,6152.037763,321.6969538
4560.056086,105.8604657,3663.181064,318.5486068,,,,,,,,,,,6226.972436,317.9070841
4674.725881,103.6503508,3738.065885,312.0676404,,,,,,,,,,,6301.90711,314.1172143
4789.375298,100.9858948,3812.94986,305.5410623,,,,,,,,,,,6376.848544,310.6922391
4904.032867,98.50317527,3887.84651,299.6986612,,,,,,,,,,,6438.172778,308.3496589
5018.682284,95.83871929,3964.704735,294.5794269,,,,,,,,,,,6526.719581,303.2037233
5133.343928,93.44686798,4037.656709,288.9260952,,,,,,,,,,,6601.668619,300.1892543
5251.608362,91.41757465,4112.566878,283.8134831,,,,,,,,,,,6676.610053,296.764279
5366.286308,89.38919624,4187.471133,278.3815883,,,,,,,,,,,6751.557401,293.6585864
5477.385917,87.5434692,4262.383837,273.4058116,,,,,,,,,,,6826.50813,290.7353411
5592.063864,85.51509079,4337.296541,268.4300349,,,,,,,,,,,6901.457168,287.7208721
5681.141507,83.88268277,4412.212626,263.6367054,,,,,,,,,,,6962.769572,284.7397265
5739.511595,83.01102509,4487.12533,258.6609287,,,,,,,,,,,,
5828.592732,81.45650413,4562.047329,254.1868819,,,,,,,,,,,,
5943.293093,79.92790096,4636.982848,250.442624,,,,,,,,,,,,
6058.011795,78.8082048,4711.915832,246.5615306,,,,,,,,,,,,
6172.71827,77.41590397,4786.84966,242.7260491,,,,,,,,,,,,
6261.835504,76.66621586,4861.784334,238.9361794,,,,,,,,,,,,
6320.199188,75.65176525,4936.727458,235.6024278,,,,,,,,,,,,
6409.306233,74.67490658,5011.673961,232.4511234,,,,,,,,,,,,
6524.018822,73.41890808,5086.621309,229.3454308,,,,,,,,,,,,
6638.735486,72.25377781,5161.571193,226.3765736,,,,,,,,,,,,
6727.835544,71.12114504,5236.516006,223.1340456,,,,,,,,,,,,
6784.499382,70.28562126,5311.465889,220.1651884,,,,,,,,,,,,
6875.327525,69.60364865,5386.412393,217.013884,,,,,,,,,,,,
6990.031962,68.1659137,5461.359741,213.9081914,,,,,,,,,,,,
7101.142168,66.55644405,5536.307089,210.8024988,,,,,,,,,,,,
7219.453063,65.56304849,5611.254438,207.6968062,,,,,,,,,,,,
7308.545553,64.26166044,5686.211081,205.0928435,,,,,,,,,,,,
7348.493263,63.8944833,5761.164344,202.3064335,,,,,,,,,,,,
7362.278825,51.39644263,5836.121832,199.7480826,,,,,,,,,,,,
,,5911.07932,197.1897317,,,,,,,,,,,,
,,5986.034273,194.4945454,,,,,,,,,,,,
,,6060.990072,191.8449708,,,,,,,,,,,,
,,6135.94756,189.2866199,,,,,,,,,,,,
,,6210.907583,186.8651044,,,,,,,,,,,,
,,6285.866761,184.3979771,,,,,,,,,,,,
,,6360.834388,182.3869679,,,,,,,,,,,,
,,6435.805396,180.5584059,,,,,,,,,,,,
,,6510.779784,178.9122912,,,,,,,,,,,,
,,6585.750791,177.0837292,,,,,,,,,,,,
,,6660.721799,175.2551672,,,,,,,,,,,,
,,6735.686047,173.0617108,,,,,,,,,,,,
,,6810.650295,170.8682543,,,,,,,,,,,,
,,6885.614543,168.6747979,,,,,,,,,,,,
,,6957.166439,166.3173248,,,,,,,,,,,,
